State,District,Average Household Income (INR/year),Government Subsidy (INR),Competitor Price (INR),Battery Cost (INR),Battery Lifespan (years),Charging Infrastructure (Stations per 100 sq km),Electricity Cost (INR/kWh),Scooter Range (km per charge),Max Speed (km/h),"Loan Availability (1 = Yes, 0 = No)",Rural Road Quality (1-5 scale),Fuel Price (INR/liter)
Telangana,,180819.71,10000.0,,36407,7,3,5.86,81,59,1,1,97.75
Chhattisgarh,Korba,129997.13,,77634.0,35452,3,2,6.5,120,76,1,4,95.24
Punjab,Ludhiana,147244.93,10000.0,74456.0,29013,6,0,6.45,106,79,1,1,104.48
Arunachal Pradesh,Pasighat,104884.14,15000.0,84813.0,36883,3,0,5.67,73,52,0,1,97.75
Goa,Margao,,15000.0,86560.0,17089,5,1,6.51,104,49,1,3,95.77
Sikkim,Gyalshing,131668.31,15000.0,87684.0,31798,4,1,3.97,104,74,1,2,97.82
Karnataka,Hubli,,15000.0,54836.0,25472,6,0,4.55,120,78,0,3,106.08
Meghalaya,Tura,156837.33,15000.0,110439.0,27362,4,0,4.41,101,55,1,1,98.95
Meghalaya,Tura,,10000.0,74631.0,39202,7,3,4.89,110,58,1,1,104.32
Andhra Pradesh,Nellore,175111.74,15000.0,93194.0,15635,4,1,6.05,93,56,1,3,105.39
Himachal Pradesh,Manali,68883.97,15000.0,37285.0,34759,3,0,5.56,78,67,1,4,98.3
West Bengal,Siliguri,144332.26,15000.0,71020.0,24465,3,0,5.37,91,73,0,3,104.17
Uttarakhand,Nainital,156577.58,10000.0,53089.0,33835,4,0,5.76,121,51,0,2,99.05
Goa,,,15000.0,62079.0,32020,7,0,5.1,121,57,1,5,105.3
Meghalaya,,141380.37,10000.0,75758.0,25717,7,2,7.36,78,55,1,2,98.53
Assam,Guwahati,70737.7,10000.0,69978.0,37917,6,1,3.55,68,48,1,2,101.93
Punjab,Jalandhar,167823.86,15000.0,94710.0,36303,3,0,4.73,87,47,1,5,99.19
West Bengal,,,15000.0,101534.0,30568,4,0,7.44,72,76,0,5,109.91
Uttarakhand,Nainital,174676.86,10000.0,60497.0,27926,6,1,7.2,162,61,1,5,104.91
Bihar,Patna,201936.35,15000.0,,32873,5,1,6.83,110,63,1,2,96.68
Odisha,Bhubaneswar,160076.48,,59533.0,27150,6,2,4.12,118,61,1,3,109.24
Uttar Pradesh,Varanasi,173934.06,,92338.0,17811,5,1,6.73,119,59,1,2,105.28
Assam,Dibrugarh,157804.54,20000.0,77385.0,34857,5,2,3.87,87,69,1,3,103.28
Odisha,Bhubaneswar,184377.54,10000.0,75484.0,22914,6,1,3.81,66,75,1,3,99.92
Punjab,Patiala,71138.52,10000.0,79686.0,30563,3,2,3.82,120,60,1,3,101.38
Gujarat,Ahmedabad,105320.95,20000.0,70332.0,33729,6,1,5.83,90,55,1,4,104.82
Punjab,Amritsar,229344.98,10000.0,62152.0,17619,6,0,6.26,123,71,0,1,98.18
Himachal Pradesh,Kullu,50000.0,10000.0,75765.0,35535,3,3,4.52,62,74,1,1,101.66
Andhra Pradesh,Nellore,142991.1,15000.0,70994.0,31642,3,1,6.11,88,51,1,4,104.95
Haryana,Panipat,208613.75,10000.0,80205.0,39017,3,2,5.33,96,71,1,4,103.05
Gujarat,Vadodara,,20000.0,50520.0,38503,3,1,7.39,106,81,0,4,108.43
Nagaland,,129749.45,15000.0,77795.0,21186,3,2,4.88,91,63,0,5,99.28
Haryana,Panipat,156471.08,15000.0,64661.0,39987,3,2,6.23,103,70,1,1,108.76
Andhra Pradesh,Visakhapatnam,132343.99,20000.0,77269.0,39489,6,1,4.01,92,62,1,2,105.34
Karnataka,Mysore,151542.47,10000.0,88576.0,23531,4,1,3.73,139,68,1,3,100.13
West Bengal,,115830.95,15000.0,66656.0,20140,4,3,6.0,112,75,1,4,97.2
Tripura,Kailashahar,205433.72,15000.0,92950.0,34436,4,0,4.51,137,65,1,1,99.42
Tripura,Kailashahar,221163.25,15000.0,48888.0,25774,6,1,7.16,108,63,0,4,98.4
Nagaland,Mokokchung,143330.48,10000.0,98157.0,36385,3,1,3.56,112,64,1,2,108.66
Tamil Nadu,,80675.53,15000.0,93577.0,32323,5,3,7.27,79,66,1,2,102.63
Jharkhand,Ranchi,123807.84,,61701.0,35660,3,1,3.58,111,70,1,3,105.11
Assam,Dibrugarh,140800.57,10000.0,61826.0,37261,7,1,6.09,96,71,1,3,96.01
Gujarat,Vadodara,,10000.0,52575.0,22972,3,0,6.88,142,57,1,5,109.22
West Bengal,Durgapur,99599.34,10000.0,88820.0,37199,4,1,5.22,95,63,0,4,108.28
Meghalaya,Nongstoin,111541.88,15000.0,70043.0,30290,3,1,6.14,129,64,1,3,102.54
Uttar Pradesh,,175533.81,15000.0,68943.0,17699,3,1,4.67,46,63,0,5,109.23
Meghalaya,Tura,,20000.0,58157.0,20626,7,1,5.36,98,55,1,3,102.91
Tripura,,,15000.0,102179.0,35482,5,0,4.19,100,65,1,1,107.87
Punjab,Jalandhar,83339.15,15000.0,60408.0,35109,5,2,4.42,104,69,0,3,104.42
West Bengal,Howrah,300000.0,15000.0,,34809,4,0,7.08,100,72,1,1,99.55
Mizoram,,189165.21,15000.0,,25983,5,0,6.34,133,58,1,5,106.12
Arunachal Pradesh,Itanagar,136649.81,15000.0,69019.0,28148,4,0,6.87,114,68,0,5,99.6
Andhra Pradesh,,193451.56,15000.0,65986.0,23349,6,2,5.13,101,76,1,3,99.77
Meghalaya,Tura,143777.17,15000.0,69461.0,21726,7,2,4.01,114,53,1,1,106.59
Kerala,Kochi,193357.84,10000.0,83479.0,31065,3,0,7.15,86,47,1,5,103.58
Chhattisgarh,Korba,157969.66,10000.0,69794.0,23081,7,3,7.36,93,56,0,1,103.55
Chhattisgarh,Bilaspur,154563.59,10000.0,99383.0,30897,5,0,6.91,97,69,1,5,101.5
Uttarakhand,Dehradun,144320.91,15000.0,63344.0,23656,3,1,5.75,110,62,1,2,99.05
Tamil Nadu,Coimbatore,77630.93,10000.0,86311.0,27785,7,1,5.5,51,59,1,4,105.09
Himachal Pradesh,Dharamshala,246904.74,15000.0,48654.0,38352,7,1,7.08,107,51,1,5,109.8
Himachal Pradesh,Kullu,102923.3,20000.0,63346.0,16439,4,1,5.15,88,79,0,4,97.48
Assam,Dibrugarh,81998.82,10000.0,62755.0,20744,6,0,5.85,117,68,1,5,97.03
Odisha,Sambalpur,139357.01,15000.0,58441.0,18036,7,1,5.16,118,53,1,4,100.36
Meghalaya,Nongstoin,101926.41,15000.0,79252.0,29575,3,4,3.81,99,81,1,2,104.81
Meghalaya,Shillong,147414.36,15000.0,73347.0,29537,6,1,7.04,59,60,1,3,106.32
Assam,,184388.19,15000.0,40817.0,23931,6,0,6.39,95,67,1,3,102.08
Punjab,Jalandhar,199765.15,20000.0,104933.0,23513,3,3,5.36,74,66,1,5,95.22
Telangana,Hyderabad,190736.54,10000.0,77640.0,17980,6,1,4.15,98,76,0,3,100.54
Sikkim,Gangtok,134718.4,10000.0,75017.0,38181,5,1,4.21,103,75,0,5,108.48
Telangana,Nizamabad,152479.59,15000.0,94651.0,29473,6,0,6.16,97,72,0,5,101.63
Andhra Pradesh,Visakhapatnam,170393.95,15000.0,89832.0,28415,4,2,7.25,94,74,0,3,96.24
Telangana,Karimnagar,62110.63,10000.0,70527.0,17367,6,1,5.21,99,58,1,1,97.15
Punjab,Patiala,178529.24,10000.0,45712.0,35086,7,0,5.28,94,58,0,3,104.07
Karnataka,Mysore,77135.04,15000.0,83465.0,36268,6,1,6.24,127,59,0,5,101.22
Mizoram,Lunglei,252017.33,15000.0,60557.0,36128,4,1,6.92,117,59,1,4,95.29
Haryana,Panipat,129774.25,,93588.0,19497,4,1,6.72,86,66,1,5,107.52
Bihar,Muzaffarpur,140756.24,15000.0,63357.0,16143,6,3,6.36,69,62,1,4,102.57
Goa,Vasco da Gama,111514.65,10000.0,68221.0,37596,5,3,4.54,130,58,0,4,106.77
Haryana,Ambala,118501.5,15000.0,54852.0,21205,6,4,4.19,108,64,1,1,107.44
Punjab,Ludhiana,263704.68,10000.0,56065.0,24871,3,2,3.53,82,58,1,3,97.52
Assam,Guwahati,197018.48,15000.0,73363.0,31097,4,3,7.38,66,65,1,3,108.27
Meghalaya,Tura,72539.88,15000.0,71966.0,33552,6,1,5.23,96,78,1,2,100.4
Tripura,Agartala,225210.65,15000.0,67861.0,38043,5,2,4.3,100,75,1,4,97.76
Assam,Dibrugarh,209662.11,15000.0,105795.0,25870,5,2,3.99,107,65,0,4,100.66
Tripura,Dharmanagar,135939.38,10000.0,84054.0,28543,5,1,4.1,120,81,1,1,109.62
Nagaland,Tuensang,165334.85,20000.0,75153.0,26435,7,0,4.84,95,75,0,1,108.71
Maharashtra,Nagpur,149252.8,15000.0,33640.0,20837,7,0,6.93,86,75,1,3,109.26
Nagaland,Dimapur,248629.0,15000.0,87386.0,26482,7,1,7.38,115,69,1,3,95.05
Arunachal Pradesh,Ziro,110185.49,10000.0,119918.0,34056,3,0,5.53,92,73,1,4,98.47
Sikkim,Gyalshing,157300.53,10000.0,72180.0,39474,3,1,4.77,109,54,0,2,105.9
Assam,,128592.73,15000.0,62842.0,32569,6,0,4.2,92,59,0,1,106.94
Meghalaya,Shillong,78347.98,15000.0,77449.0,37275,7,1,4.65,107,56,0,5,102.8
Himachal Pradesh,Dharamshala,259581.91,10000.0,53528.0,21122,7,1,5.98,84,74,0,1,99.96
Bihar,Patna,90921.67,20000.0,81930.0,39043,3,1,7.28,111,45,1,5,100.13
Andhra Pradesh,Vijayawada,161006.46,10000.0,97503.0,18378,5,3,5.46,115,67,1,5,103.05
Bihar,Bhagalpur,62964.97,10000.0,64936.0,35353,5,0,4.06,114,76,1,3,95.05
Andhra Pradesh,Visakhapatnam,130046.47,10000.0,65420.0,32129,4,0,7.28,99,76,1,5,105.37
Maharashtra,Pune,171098.44,10000.0,73804.0,38529,6,1,7.35,103,65,1,2,103.58
Rajasthan,Udaipur,,20000.0,67481.0,23607,6,3,7.08,97,68,1,3,102.64
Meghalaya,Jowai,179340.09,15000.0,52315.0,26137,7,2,6.94,93,70,0,3,97.98
Punjab,,136547.95,10000.0,69221.0,31953,3,2,6.61,68,72,1,5,97.63
Telangana,Warangal,208004.13,20000.0,66194.0,19245,6,1,4.0,63,52,0,4,96.56
Haryana,Panipat,218088.05,20000.0,95498.0,17066,5,1,4.81,93,68,0,2,108.7
Gujarat,Ahmedabad,120662.76,15000.0,92330.0,39281,3,1,6.52,83,48,1,3,108.03
Assam,Silchar,153836.64,20000.0,95959.0,37883,7,1,6.97,71,78,0,5,103.7
Mizoram,Serchhip,159172.71,15000.0,87025.0,31273,7,0,4.41,98,32,1,4,99.08
Andhra Pradesh,Guntur,180967.46,15000.0,78086.0,21899,6,0,5.98,137,69,1,1,106.37
Meghalaya,,150719.1,15000.0,61883.0,16969,6,1,3.74,77,57,1,4,97.22
Kerala,Thiruvananthapuram,159510.55,10000.0,94891.0,26277,4,1,6.92,132,50,1,1,107.17
Uttarakhand,Haridwar,137829.68,15000.0,80216.0,32171,6,1,4.89,87,66,1,3,107.24
Odisha,Cuttack,155761.99,20000.0,56279.0,17348,6,0,4.29,113,59,1,4,99.29
Sikkim,Mangan,214897.01,15000.0,61291.0,20975,5,0,6.85,75,62,0,2,102.35
Tamil Nadu,Tiruchirapalli,,20000.0,56043.0,38854,5,3,4.18,126,55,1,5,104.2
Sikkim,Mangan,185062.78,15000.0,44219.0,27318,3,0,5.34,95,35,0,5,98.04
Maharashtra,Mumbai,186153.52,15000.0,80827.0,18171,6,1,3.88,124,55,1,1,100.06
Goa,Margao,142309.56,15000.0,56431.0,25702,6,1,5.28,100,64,1,5,103.98
Goa,Mapusa,165941.35,15000.0,63660.0,24773,7,2,7.2,85,63,1,3,103.27
Madhya Pradesh,,95741.32,15000.0,75582.0,24094,5,0,6.27,68,65,0,3,101.6
Odisha,,213440.38,10000.0,72181.0,19912,7,2,7.44,119,69,1,2,98.44
Sikkim,Mangan,,10000.0,64298.0,39982,6,0,5.29,102,79,0,1,103.06
Haryana,Panipat,145642.58,,97783.0,24180,5,3,7.06,95,55,0,2,100.56
Uttarakhand,Dehradun,207044.8,10000.0,52100.0,26139,6,3,7.15,71,76,0,1,98.11
Uttarakhand,Haridwar,81806.6,15000.0,52749.0,17142,4,1,3.86,104,57,1,4,99.52
Arunachal Pradesh,Itanagar,169989.0,15000.0,81867.0,39734,7,0,7.42,103,79,0,2,98.56
Rajasthan,Kota,115961.68,15000.0,65608.0,25286,5,1,7.07,73,61,1,2,100.68
Andhra Pradesh,Visakhapatnam,131559.84,15000.0,65021.0,21499,5,0,6.01,122,57,1,4,109.46
West Bengal,Durgapur,197297.05,15000.0,58814.0,37033,6,2,5.65,77,76,1,2,109.05
Manipur,Churachandpur,159902.85,20000.0,80073.0,19297,6,4,5.04,91,62,0,4,104.93
Andhra Pradesh,Vijayawada,50000.0,15000.0,78384.0,36766,3,0,5.85,57,42,0,3,106.2
Chhattisgarh,,101178.72,15000.0,76786.0,25789,3,2,6.45,98,69,1,2,100.9
West Bengal,Kolkata,,20000.0,66255.0,18756,7,0,6.33,86,66,1,4,106.62
Meghalaya,Tura,172447.14,,63734.0,34483,5,4,4.7,121,52,1,4,107.73
Odisha,Rourkela,237406.78,,72553.0,16041,6,2,6.19,84,75,1,2,106.98
Bihar,Gaya,234132.38,15000.0,89498.0,26230,7,0,3.52,91,55,1,2,97.91
Assam,Dibrugarh,132887.74,10000.0,98522.0,18061,5,0,4.18,129,70,1,5,107.32
Mizoram,Serchhip,275161.89,10000.0,91670.0,24224,6,1,4.11,108,70,0,1,107.2
Mizoram,Serchhip,151223.98,20000.0,82586.0,15874,3,0,6.46,91,99,0,5,105.7
Kerala,Thiruvananthapuram,101866.57,20000.0,89732.0,39079,5,1,7.09,71,65,1,1,107.67
West Bengal,Durgapur,118318.01,15000.0,57270.0,24533,6,1,3.85,100,53,1,1,107.63
Maharashtra,Pune,50000.0,10000.0,64293.0,33303,7,1,7.15,86,64,1,4,103.64
Rajasthan,Jaipur,230350.95,15000.0,82865.0,19135,7,1,4.73,94,83,1,5,105.13
Goa,,229738.1,15000.0,73227.0,36976,4,0,5.99,99,81,1,2,100.2
Assam,,99224.63,15000.0,80062.0,19708,5,1,4.16,138,54,0,2,96.72
West Bengal,Siliguri,,15000.0,89691.0,38645,7,3,5.11,84,43,1,5,103.05
Himachal Pradesh,Manali,154780.38,20000.0,87360.0,30342,5,0,5.35,102,63,1,3,102.84
Chhattisgarh,Bilaspur,,10000.0,58635.0,39633,7,0,5.0,78,57,1,1,106.94
Telangana,Hyderabad,62244.9,15000.0,,26201,5,0,6.79,120,63,1,4,97.87
Mizoram,Serchhip,139482.12,15000.0,61187.0,37212,5,0,5.83,94,59,0,3,107.74
Maharashtra,Nagpur,133946.03,15000.0,63340.0,21761,5,1,5.48,76,75,1,4,106.86
Rajasthan,Jaipur,130579.44,15000.0,49336.0,21493,4,2,6.64,92,74,1,3,105.92
Assam,Guwahati,161135.8,20000.0,77004.0,29029,3,2,6.34,119,85,0,4,97.75
West Bengal,Kolkata,221475.98,10000.0,48228.0,18610,5,0,3.92,72,59,0,5,99.81
Andhra Pradesh,Nellore,134845.36,10000.0,80911.0,17092,3,0,5.57,119,53,1,2,101.28
Punjab,Patiala,158522.15,15000.0,95376.0,15973,3,0,6.69,83,74,0,2,95.01
Rajasthan,Jaipur,186343.53,15000.0,82955.0,17462,3,1,6.05,103,62,1,4,98.0
Tamil Nadu,,177707.15,10000.0,75778.0,20425,7,0,6.35,125,76,1,1,104.96
Andhra Pradesh,Nellore,,15000.0,98016.0,29373,6,2,5.79,105,67,1,3,103.63
Assam,Silchar,,15000.0,79911.0,33670,3,2,7.21,103,72,0,4,109.19
Nagaland,Mokokchung,177376.99,10000.0,62058.0,26146,5,2,5.56,96,65,1,3,97.54
Tripura,,93582.43,10000.0,76876.0,28071,6,1,5.75,72,59,1,3,102.76
Jharkhand,Ranchi,213176.95,20000.0,104395.0,31050,7,0,7.02,104,83,1,4,95.3
Sikkim,Namchi,221579.45,15000.0,58610.0,16482,4,1,5.96,106,68,0,1,103.73
Uttar Pradesh,,113860.99,15000.0,54298.0,17214,3,0,5.25,95,60,1,1,96.58
Assam,Dibrugarh,159683.5,10000.0,84223.0,18834,3,1,4.51,63,50,1,2,96.34
Haryana,Panipat,182113.91,15000.0,71639.0,27123,7,1,7.36,95,64,1,1,101.6
Maharashtra,Nashik,122719.29,10000.0,67019.0,24428,5,1,6.58,88,55,1,1,100.06
Telangana,,174080.69,20000.0,56112.0,36211,5,2,3.83,70,60,1,1,101.77
Nagaland,Mokokchung,158162.78,15000.0,45748.0,24207,6,1,4.0,97,80,1,2,95.42
Manipur,Imphal,76604.09,15000.0,53153.0,16686,6,1,4.32,80,78,0,5,96.12
Sikkim,Mangan,172958.07,20000.0,99223.0,22533,5,2,4.45,98,54,1,4,96.08
Tamil Nadu,Coimbatore,94992.88,15000.0,,21464,4,0,6.08,93,55,0,4,96.93
Arunachal Pradesh,Itanagar,196960.14,10000.0,45564.0,30664,5,0,5.63,87,73,1,5,101.47
Uttarakhand,Almora,116439.45,15000.0,92761.0,24148,4,0,4.44,74,48,0,4,101.61
Jharkhand,Ranchi,141935.73,15000.0,93522.0,16205,7,1,4.1,129,71,1,1,99.86
Arunachal Pradesh,Itanagar,218613.95,15000.0,93438.0,24868,4,0,6.27,120,56,1,1,96.57
Uttar Pradesh,Agra,,20000.0,68662.0,15967,7,1,3.71,82,56,1,4,107.9
Mizoram,Aizawl,,15000.0,70967.0,36586,3,0,4.38,102,68,1,4,104.42
Haryana,Faridabad,99254.17,10000.0,77064.0,19759,5,2,4.68,107,58,0,1,104.46
Andhra Pradesh,Visakhapatnam,,15000.0,96015.0,17151,6,1,4.23,109,48,1,5,99.67
Himachal Pradesh,Dharamshala,169732.2,15000.0,66676.0,22344,3,0,5.8,106,69,1,5,108.39
Karnataka,Hubli,167914.99,15000.0,,33136,6,3,6.37,104,55,0,5,99.58
Sikkim,Gangtok,107844.88,15000.0,85435.0,28162,4,2,5.13,118,53,0,4,104.75
Meghalaya,Shillong,91639.53,15000.0,93138.0,27569,5,0,4.17,62,69,0,3,108.77
Gujarat,Rajkot,164079.17,10000.0,74208.0,34821,5,0,5.11,94,54,1,4,109.91
Jharkhand,Bokaro,140907.0,10000.0,85056.0,25153,5,1,5.36,129,56,1,4,98.08
Tamil Nadu,Madurai,257860.79,10000.0,76686.0,31346,3,0,7.02,76,57,1,2,108.02
Uttar Pradesh,Kanpur,151830.18,20000.0,71231.0,38007,7,1,5.63,102,73,1,2,105.69
Assam,Guwahati,240712.64,15000.0,62560.0,34691,4,1,3.73,70,65,0,1,96.09
Nagaland,Kohima,91480.82,15000.0,57692.0,39322,3,0,7.41,100,63,1,5,97.63
Tripura,Kailashahar,71339.35,15000.0,65778.0,17492,3,0,4.25,69,63,1,4,102.66
Telangana,Hyderabad,93995.74,20000.0,,22496,7,1,5.61,87,55,0,5,102.64
Madhya Pradesh,Gwalior,,20000.0,79252.0,22744,6,3,4.87,88,59,0,1,106.78
West Bengal,Durgapur,237805.08,,93263.0,34345,6,1,6.29,115,64,0,2,101.5
Uttar Pradesh,,,25000.0,78060.0,39642,5,0,4.26,88,49,0,1,105.76
Gujarat,Vadodara,126971.7,15000.0,61189.0,15447,3,2,5.55,102,57,1,3,109.93
Tripura,Kailashahar,,15000.0,87830.0,21431,7,1,5.56,93,52,1,3,109.26
Bihar,Gaya,59418.01,10000.0,79453.0,35163,7,2,6.1,131,86,1,5,103.14
Madhya Pradesh,Gwalior,185920.58,15000.0,82422.0,36691,6,1,5.83,69,65,0,5,106.53
Punjab,Jalandhar,161151.02,15000.0,67209.0,15612,7,1,4.0,60,80,1,3,100.13
Andhra Pradesh,Vijayawada,150524.4,15000.0,92000.0,37932,6,1,6.28,88,61,0,3,106.73
Haryana,Ambala,79997.17,15000.0,91923.0,21505,6,1,5.35,134,53,0,5,104.55
Maharashtra,,231997.83,15000.0,72238.0,26418,3,0,4.25,82,74,1,3,101.46
Meghalaya,Tura,124832.16,15000.0,85776.0,34076,4,2,5.1,119,60,0,1,102.24
Maharashtra,Nashik,176681.32,15000.0,91522.0,19674,5,1,4.98,100,61,1,5,101.75
Kerala,Thrissur,77271.93,15000.0,68019.0,23915,4,0,5.27,111,68,1,5,104.79
Odisha,Cuttack,140473.74,20000.0,73781.0,38208,7,1,7.08,134,68,0,3,105.55
Tamil Nadu,Madurai,164568.72,20000.0,,37529,4,1,6.99,114,75,1,3,102.34
Manipur,Imphal,,15000.0,,28440,4,0,3.6,130,65,0,2,107.93
West Bengal,Siliguri,157732.43,10000.0,81624.0,25134,6,2,5.55,139,64,0,2,109.19
Arunachal Pradesh,Ziro,174726.12,20000.0,90337.0,25415,3,2,3.79,99,77,1,1,105.15
Arunachal Pradesh,Tawang,93473.98,10000.0,72841.0,25008,7,4,3.65,98,59,1,4,97.86
Tamil Nadu,,159868.63,20000.0,80097.0,27377,5,0,4.34,120,75,0,3,97.67
Sikkim,Mangan,155687.88,10000.0,95978.0,25104,6,2,7.36,79,71,1,2,109.99
Odisha,Rourkela,161583.63,15000.0,68922.0,18323,5,0,7.22,96,64,1,4,102.87
Tripura,Dharmanagar,153617.26,15000.0,80403.0,20214,3,1,6.35,122,64,1,1,104.92
Uttar Pradesh,Lucknow,86339.36,20000.0,66452.0,33010,4,1,4.73,133,57,1,3,102.61
Sikkim,Gangtok,84110.01,15000.0,66043.0,25956,4,1,4.35,123,69,1,5,104.93
Uttar Pradesh,Kanpur,50000.0,20000.0,80128.0,28230,3,0,4.19,99,56,1,3,101.87
Uttar Pradesh,,190876.73,20000.0,78620.0,22223,7,1,3.59,113,75,1,5,108.1
Sikkim,Namchi,191382.88,10000.0,83326.0,36562,6,4,5.26,87,48,1,2,99.17
Mizoram,Serchhip,192177.51,15000.0,76142.0,18471,4,0,5.93,111,77,1,3,109.92
Punjab,Amritsar,165339.5,10000.0,81977.0,28029,3,1,5.88,76,81,1,5,104.27
Jharkhand,Dhanbad,,15000.0,99982.0,22257,6,0,6.31,145,78,0,4,96.34
Goa,Mapusa,98664.48,10000.0,90898.0,33485,6,1,5.54,125,72,1,3,101.85
Manipur,Imphal,158520.77,15000.0,80075.0,21906,3,1,5.63,107,63,1,3,100.96
Sikkim,Gyalshing,156775.9,15000.0,82573.0,37062,4,2,7.34,91,59,0,5,109.0
Karnataka,Mysore,138862.59,15000.0,70516.0,17995,7,2,5.76,124,68,1,5,99.46
West Bengal,Kolkata,,15000.0,72612.0,25897,4,0,7.0,69,67,1,4,101.99
Chhattisgarh,Raipur,150582.59,15000.0,82386.0,25448,4,2,4.0,76,71,0,4,105.85
Andhra Pradesh,Guntur,156038.52,,76314.0,22213,4,1,6.81,78,67,1,5,96.34
Haryana,Ambala,118046.73,20000.0,86895.0,19312,4,2,6.25,141,58,0,1,97.8
Rajasthan,Kota,199100.55,15000.0,94006.0,38161,5,0,3.52,74,72,0,4,104.84
West Bengal,Howrah,,15000.0,73473.0,16177,3,3,4.34,76,62,1,3,96.51
Kerala,Kozhikode,83467.55,15000.0,44861.0,39063,7,4,4.36,131,72,0,4,99.3
Kerala,Kozhikode,111450.05,10000.0,105512.0,26793,7,0,5.09,81,80,1,4,101.24
Chhattisgarh,Durg,132576.69,15000.0,65212.0,32712,5,1,5.07,96,70,1,2,98.31
Gujarat,Rajkot,199700.14,20000.0,77927.0,26456,7,2,4.9,119,60,0,5,99.91
Bihar,Gaya,147886.6,15000.0,,29214,5,1,5.24,79,67,1,2,98.59
Goa,Vasco da Gama,140692.59,15000.0,96134.0,16181,5,2,6.81,115,71,1,3,106.65
Madhya Pradesh,,87566.83,10000.0,102090.0,20728,7,3,3.7,95,54,1,5,98.63
Punjab,Ludhiana,189274.13,10000.0,69541.0,37680,7,0,6.89,47,64,1,5,106.8
Manipur,Thoubal,117402.39,10000.0,92845.0,36272,4,1,7.17,95,60,1,3,98.72
Assam,Dibrugarh,144998.61,15000.0,77969.0,36402,5,2,4.17,138,80,0,5,95.94
Tamil Nadu,Tiruchirapalli,224009.15,15000.0,116148.0,39610,6,1,4.96,69,55,1,1,108.33
Haryana,Panipat,175438.17,15000.0,91506.0,30224,3,3,6.1,142,65,0,5,105.86
Punjab,Jalandhar,68587.3,15000.0,72337.0,26677,4,0,7.41,101,72,0,3,98.2
Meghalaya,Jowai,61524.49,15000.0,63103.0,21413,5,2,6.96,85,62,1,1,99.57
Madhya Pradesh,Bhopal,146784.48,15000.0,35601.0,33082,4,2,6.46,93,54,1,4,98.46
Nagaland,Mokokchung,89362.97,15000.0,85120.0,20665,4,1,7.26,138,65,1,5,106.07
West Bengal,Durgapur,182427.34,15000.0,90126.0,22054,3,0,7.43,74,70,0,2,95.19
Jharkhand,Ranchi,152113.15,15000.0,86181.0,34974,7,0,7.09,103,80,0,3,109.45
Odisha,Bhubaneswar,158269.24,20000.0,39698.0,30244,7,1,4.25,90,66,0,3,100.6
Mizoram,Champhai,114662.84,10000.0,56129.0,25979,3,0,6.36,104,61,0,5,99.3
Telangana,Karimnagar,237069.18,10000.0,82212.0,17471,4,1,5.1,108,63,0,1,106.76
Odisha,Sambalpur,292129.69,15000.0,101782.0,38329,5,3,6.77,95,71,0,5,99.82
West Bengal,Kolkata,136070.76,15000.0,74166.0,27556,7,2,3.72,106,72,0,2,103.55
Uttar Pradesh,Agra,167651.96,15000.0,91372.0,27281,6,1,6.82,93,73,1,5,101.12
Tamil Nadu,Madurai,154870.87,15000.0,59483.0,33691,5,1,4.68,91,60,1,4,104.41
Uttar Pradesh,,137015.66,20000.0,78106.0,29220,4,1,6.58,101,78,1,2,96.5
Chhattisgarh,Korba,108396.48,15000.0,70880.0,20167,6,1,4.17,100,58,1,5,100.77
Uttar Pradesh,Agra,95751.6,20000.0,92813.0,31491,5,1,3.7,97,67,1,2,108.53
Rajasthan,Udaipur,93220.14,15000.0,66902.0,30500,3,2,6.1,113,57,1,4,109.63
Tamil Nadu,Chennai,170262.0,10000.0,100155.0,38254,6,3,5.28,118,53,0,2,96.72
Himachal Pradesh,Kullu,124016.28,10000.0,70384.0,24564,4,0,6.89,120,71,1,5,104.88
Kerala,Kochi,,10000.0,58952.0,18616,6,2,7.15,80,75,1,3,101.18
Rajasthan,Kota,172242.91,15000.0,59455.0,33966,3,1,5.12,99,46,0,2,100.34
Andhra Pradesh,Nellore,148086.94,15000.0,65663.0,34103,7,0,5.97,63,50,1,1,95.3
Uttar Pradesh,Agra,217333.65,20000.0,80558.0,18510,7,1,4.62,92,82,1,3,96.69
Uttar Pradesh,Varanasi,168656.12,20000.0,65850.0,36387,7,0,4.54,94,42,1,2,98.49
Andhra Pradesh,Visakhapatnam,76066.32,15000.0,62692.0,29459,3,0,6.94,102,59,0,3,101.93
Manipur,Thoubal,50000.0,15000.0,88347.0,38863,5,1,4.08,106,94,1,4,105.03
Arunachal Pradesh,Ziro,114026.38,10000.0,26831.0,32603,3,1,5.28,91,50,0,3,103.3
Sikkim,Mangan,,20000.0,68551.0,25784,6,2,5.32,93,69,1,1,101.45
Meghalaya,,197157.96,15000.0,54986.0,36535,5,1,5.84,85,68,1,5,104.37
Tripura,Kailashahar,149556.45,15000.0,61971.0,25896,7,1,6.02,72,65,1,2,101.46
Haryana,Panipat,206684.42,15000.0,78656.0,32992,3,1,5.23,108,58,1,3,100.44
Madhya Pradesh,Jabalpur,,15000.0,71921.0,17556,4,1,5.27,116,63,1,1,109.63
Rajasthan,Kota,198263.22,15000.0,70566.0,32666,7,1,5.99,72,68,1,2,107.66
Andhra Pradesh,Guntur,186049.46,10000.0,92842.0,31244,4,1,6.31,77,72,0,2,96.53
